iter	Logloss
0	0.6866514271
1	0.6811664118
2	0.674910936
3	0.6691219355
4	0.6638224562
5	0.6581771892
6	0.6527896785
7	0.6480067175
8	0.6433612558
9	0.6383117616
10	0.6341845705
11	0.6298249684
12	0.6243734828
13	0.6191642992
14	0.6151434745
15	0.6107909269
16	0.6065575953
17	0.6031819292
18	0.5997767933
19	0.5957699462
20	0.5915219993
21	0.588330198
22	0.5858296812
23	0.5814460755
24	0.5776425819
25	0.5735626828
26	0.5706384961
27	0.5663295582
28	0.5625766416
29	0.5586755304
30	0.5558458932
31	0.5528178281
32	0.5502747554
33	0.5471365618
34	0.5445042655
35	0.5413845101
36	0.5381330732
37	0.5349917609
38	0.5326892037
39	0.5295753755
40	0.5266015428
41	0.5235065388
42	0.5207704724
43	0.5175169928
44	0.5144395005
45	0.5129326452
46	0.510219822
47	0.5073501036
48	0.5050583205
49	0.5026135617
50	0.5004988685
51	0.4985120744
52	0.4974807352
53	0.4956396921
54	0.4932422003
55	0.4911475547
56	0.4899083692
57	0.4879509327
58	0.4859563996
59	0.4839787483
60	0.4814782099
61	0.4806274248
62	0.4781081775
63	0.4764787157
64	0.4750641693
65	0.4737374873
66	0.4721515007
67	0.4705538893
68	0.4686765824
69	0.4677911245
70	0.4656745794
71	0.463967719
72	0.4624548164
73	0.4609313365
74	0.4591768522
75	0.4578602973
76	0.4566398042
77	0.4556693577
78	0.4544777125
79	0.4533649759
80	0.4521636016
81	0.4508780651
82	0.4501880313
83	0.4494015836
84	0.4484164139
85	0.4466909443
86	0.4447537641
87	0.4433761454
88	0.4421341975
89	0.4403665716
90	0.4392141876
91	0.4380305162
92	0.4363168655
93	0.4346238704
94	0.4338201658
95	0.4332705575
96	0.4322048426
97	0.4310151809
98	0.4299520159
99	0.4287479569
100	0.4277691664
101	0.4264590243
102	0.4254542987
103	0.4242089637
104	0.4232729415
105	0.4226093448
106	0.4213728655
107	0.4204636492
108	0.4194642726
109	0.4184209238
110	0.4171947152
111	0.4161050778
112	0.4151003816
113	0.4146913696
114	0.4134538164
115	0.412811683
116	0.4119390013
117	0.4115695083
118	0.4105542314
119	0.4093471351
120	0.4087536397
121	0.407894733
122	0.407089526
123	0.4062822646
124	0.4053737169
125	0.4047141413
126	0.4038356404
127	0.4030471115
128	0.4018545141
129	0.400881412
130	0.4004491987
131	0.3996332649
132	0.399118825
133	0.3988246649
134	0.3979110004
135	0.397341844
136	0.3968501032
137	0.3960712557
138	0.3955954156
139	0.3948237375
140	0.3941116655
141	0.3933186041
142	0.3931622229
143	0.3926393503
144	0.3922149206
145	0.3916843958
146	0.3910839241
147	0.3902240193
148	0.3895622843
149	0.389032848
150	0.3883390036
151	0.3875507442
152	0.386749834
153	0.3863400199
154	0.3853682164
155	0.3846552415
156	0.3839642675
157	0.3830080185
158	0.3824603156
159	0.381756865
160	0.3814450555
161	0.3812821336
162	0.3808289112
163	0.3804184677
164	0.3798527883
165	0.3793540411
166	0.3789892222
167	0.3787368517
168	0.3783093347
169	0.3776777385
170	0.3771403468
171	0.3767428147
172	0.3760619448
173	0.3758523821
174	0.3751508233
175	0.3746664619
176	0.374474588
177	0.3742431296
178	0.3737018304
179	0.3734552447
180	0.3730089773
181	0.3728456205
182	0.3723283114
183	0.371926738
184	0.3717641154
185	0.3712851492
186	0.371001363
187	0.3707659542
188	0.3705729827
189	0.3702680794
190	0.3697225287
191	0.3693235559
192	0.3686626856
193	0.3685261844
194	0.3682646797
195	0.3680135455
196	0.3675554964
197	0.3672984353
198	0.3671103444
199	0.3667732783
200	0.3663668714
201	0.3658601729
202	0.3654147859
203	0.3648630549
204	0.3647392773
205	0.3642366851
206	0.3640120778
207	0.3638142361
208	0.3635067725
209	0.3630031139
210	0.3628403405
211	0.3624496962
212	0.3622781517
213	0.3619021757
214	0.3614645638
215	0.3609583252
216	0.3607273207
217	0.3606054873
218	0.3603832729
219	0.3600491228
220	0.3599394894
221	0.3597339091
222	0.3594530213
223	0.3591430242
224	0.3589100973
225	0.3588472851
226	0.3585705228
227	0.3581969511
228	0.3577354966
229	0.3574289834
230	0.3569935589
231	0.3566503844
232	0.3563500425
233	0.355927923
234	0.3556869548
235	0.3553013283
236	0.3549655331
237	0.3546453966
238	0.3541979621
239	0.3539360642
240	0.353592863
241	0.3534421166
242	0.3532095949
243	0.3531332848
244	0.3527884511
245	0.3524780336
246	0.3520351789
247	0.3518431977
248	0.3513525224
249	0.351143203
250	0.3508183147
251	0.3505851877
252	0.3502585926
253	0.3500859497
254	0.3500213774
255	0.3496425412
256	0.349170521
257	0.348993982
258	0.348738702
259	0.348476993
260	0.3483237208
261	0.3479747123
262	0.3478598607
263	0.3476336497
264	0.3473279058
265	0.3470800302
266	0.3466710167
267	0.3465399492
268	0.3462468914
269	0.3461082015
270	0.3457125177
271	0.3454145612
272	0.3452779313
273	0.3451401591
274	0.3446712138
275	0.3442120192
276	0.3439287446
277	0.3435426241
278	0.3433424305
279	0.3430959342
280	0.3427996795
281	0.3426120307
282	0.3425376966
283	0.3423333933
284	0.3421345437
285	0.3418952483
286	0.3416008324
287	0.3413120888
288	0.3409384865
289	0.3406996283
290	0.3405629882
291	0.3402621855
292	0.3400944314
293	0.3398629902
294	0.3396715766
295	0.3395573243
296	0.3393602224
297	0.3389884465
298	0.3387818784
299	0.3385099978
300	0.3382459732
301	0.338027178
302	0.3377003298
303	0.3376779801
304	0.3375725899
305	0.33739461
306	0.3372959682
307	0.3369578218
308	0.3366331054
309	0.3362862405
310	0.336199606
